Réf.,Libellé,Produit,Description,Quantité,Id de ligne,Produit,Nomenclature BOM,Description,Quantité,Poste de travail par défaut,Unité
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,6,1628,,,1.00000000,,
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,7,1638,,,2.00000000,,
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,8,1639,,,2.00000000,,
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,9,1797,,,2.00000000,,
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,10,5323,,,1.00000000,,
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,297,5372,,,0.06000000,,32
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,373,5553,,,1.00000000,,
BOM2310-0004,Kit Quincaillerie pour 1 porte 14U 16U 22U,1926,,1.00000000,374,6207,,,1.00000000,,
BOM2310-0005,Kit Quincaillerie pour Fixation Meuble,5648,,1.00000000,298,5372,,,0.05000000,,32
BOM2310-0005,Kit Quincaillerie pour Fixation Meuble,5648,,1.00000000,862,5631,,,12.00000000,0,28
BOM2310-0005,Kit Quincaillerie pour Fixation Meuble,5648,,1.00000000,863,1818,,,6.00000000,0,28
BOM2310-0005,Kit Quincaillerie pour Fixation Meuble,5648,,1.00000000,864,6217,,,2.00000000,0,28
BOM2310-0005,Kit Quincaillerie pour Fixation Meuble,5648,,1.00000000,865,5554,,,1.00000000,0,
BOM2310-0005,Kit Quincaillerie pour Fixation Meuble,5648,,1.00000000,2282,1998,,,1.00000000,0,
BOM2310-0007,Kit Tiroir Longueur 270 Hauteur 3U,1980,,1.00000000,20,1940,,,1.00000000,,
BOM2310-0007,Kit Tiroir Longueur 270 Hauteur 3U,1980,,1.00000000,21,1943,,,1.00000000,,
BOM2310-0007,Kit Tiroir Longueur 270 Hauteur 3U,1980,,1.00000000,22,1946,,,1.00000000,,
BOM2310-0007,Kit Tiroir Longueur 270 Hauteur 3U,1980,,1.00000000,23,1949,,,1.00000000,,
BOM2310-0007,Kit Tiroir Longueur 270 Hauteur 3U,1980,,1.00000000,24,1990,,,1.00000000,,
BOM2310-0007,Kit Tiroir Longueur 270 Hauteur 3U,1980,,1.00000000,212,4972,,,4.00000000,,
BOM2310-0007,Kit Tiroir Longueur 270 Hauteur 3U,1980,,1.00000000,587,5372,,,0.07500000,,32
BOM2310-0006,Kit Quincaillerie pour 1 Tiroir,1924,,1.00000000,25,1626,,,1.00000000,,
BOM2310-0006,Kit Quincaillerie pour 1 Tiroir,1924,,1.00000000,26,1627,,,1.00000000,,
BOM2310-0006,Kit Quincaillerie pour 1 Tiroir,1924,,1.00000000,27,1629,,,4.00000000,,
BOM2310-0006,Kit Quincaillerie pour 1 Tiroir,1924,,1.00000000,29,5324,,,4.00000000,,
BOM2310-0006,Kit Quincaillerie pour 1 Tiroir,1924,,1.00000000,299,5372,,,0.05000000,,32
BOM2310-0006,Kit Quincaillerie pour 1 Tiroir,1924,,1.00000000,376,5554,,,1.00000000,,
BOM2310-0006,Kit Quincaillerie pour 1 Tiroir,1924,,1.00000000,377,5553,,,1.00000000,,
BOM2310-0008,Kit Tiroir Longueur 270 Hauteur 6U,1981,,1.00000000,32,1940,,,1.00000000,,
BOM2310-0008,Kit Tiroir Longueur 270 Hauteur 6U,1981,,1.00000000,33,1944,,,1.00000000,,
